accession,seq_tech,geo_origin,source,asm_method,pub_title,first_aut,pubmed_id,pub_date
NA19238,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA19239,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA18550,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18570,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18582,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18558,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18576,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18638,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18593,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18542,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18537,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18592,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18547,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18545,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18603,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18562,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18566,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18532,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18579,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18573,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18609,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18608,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18552,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18571,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18605,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA12234,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA18944,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA07000,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA18973,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA07357,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12776,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA18511,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA12414,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA19005,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA18952,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA18980,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA12043,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA18943,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA18947,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA12828,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA18577,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18563,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18561,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18572,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18555,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA18526,ILLUMINA,Han Chinese in Beijing,1K_GENOMES,,,,,
NA19201,ABI_SOLID,Yoruba in Nigeria,1K_GENOMES,,,,,
NA19171,ABI_SOLID,Yoruba in Nigeria,1K_GENOMES,,,,,
NA18912,ABI_SOLID,Yoruba in Nigeria,1K_GENOMES,,,,,
NA19137,ABI_SOLID,Yoruba in Nigeria,1K_GENOMES,,,,,
NA19210,ABI_SOLID,Yoruba in Nigeria,1K_GENOMES,,,,,
NA18504,ABI_SOLID,Yoruba in Nigeria,1K_GENOMES,,,,,
NA18870,ABI_SOLID,Yoruba in Nigeria,1K_GENOMES,,,,,
NA07051,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA10847,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12249,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12716,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12717,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12750,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12751,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12761,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA10851,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA18916,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA18951,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA18965,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA18861,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA18505,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA12044,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA18948,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA19225,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA18942,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA18858,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA18956,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
