accession,seq_tech,geo_origin
NA19238,Illumina,"Ibadan, Nigeria"
NA19239,Illumina,"Ibadan, Nigeria"
NA18550,Illumina,"Beijing, China"
NA18570,Illumina,"Beijing, China"
NA18582,Illumina,"Beijing, China"
NA18558,Illumina,"Beijing, China"
NA18576,Illumina,NA
NA18638,Illumina,"Beijing, China"
NA18593,Illumina,"Beijing, China"
NA18542,Illumina,"Beijing, China"
NA18537,Illumina,"Beijing, China"
NA18592,Illumina,"Beijing, China"
NA18547,Illumina,"Beijing, China"
NA18545,Illumina,"Beijing, China"
NA18603,Illumina,"Beijing, China"
NA18562,Illumina,"Beijing, China"
NA18566,Illumina,"Beijing, China"
NA18532,Illumina,"Beijing, China"
NA18579,Illumina,"Beijing, China"
NA18573,Illumina,"Beijing, China"
NA18609,Illumina,"Beijing, China"
NA18608,Illumina,"Beijing, China"
NA18552,Illumina,"Beijing, China"
NA18571,Illumina,"Beijing, China"
NA18605,Illumina,"Beijing, China"
NA12234,Illumina,"Utah, USA"
NA18944,Illumina,"Tokyo, Japan"
NA07000,Illumina,"Utah, USA"
NA18973,Illumina,"Tokyo, Japan"
NA07357,Illumina,"Utah, USA"
NA12776,Illumina,"Utah, USA"
NA18511,Illumina,"Ibadan, Nigeria"
NA12414,Illumina,"Utah, USA"
NA19005,Illumina,"Tokyo, Japan"
NA18952,Illumina,"Tokyo, Japan"
NA18980,Illumina,"Tokyo, Japan"
NA12043,Illumina,"Utah, USA"
NA18943,Illumina,"Tokyo, Japan"
NA18947,Illumina,"Tokyo, Japan"
NA12828,Illumina,"Utah, USA"
NA18577,Illumina,"Beijing, China"
NA18563,Illumina,"Beijing, China"
NA18561,Illumina,"Beijing, China"
NA18572,Illumina,"Beijing, China"
NA18555,Illumina,"Beijing, China"
NA18526,Illumina,"Beijing, China"
NA19201,ABI_SOLID,"Ibadan, Nigeria"
NA19171,ABI_SOLID,"Ibadan, Nigeria"
NA18912,ABI_SOLID,"Ibadan, Nigeria"
NA19137,ABI_SOLID,"Ibadan, Nigeria"
NA19210,ABI_SOLID,"Ibadan, Nigeria"
NA18504,ABI_SOLID,"Ibadan, Nigeria"
NA18870,ABI_SOLID,"Ibadan, Nigeria"
NA07051,Illumina,"Utah, USA"
NA10847,Illumina,"Utah, USA"
NA12249,Illumina,"Utah, USA"
NA12716,Illumina,"Utah, USA"
NA12717,Illumina,"Utah, USA"
NA12750,Illumina,"Utah, USA"
NA12751,Illumina,"Utah, USA"
NA12761,Illumina,"Utah, USA"
NA10851,Illumina,"Utah, USA"
NA18916,Illumina,"Ibadan, Nigeria"
NA18951,Illumina,"Tokyo, Japan"
NA18965,Illumina,"Tokyo, Japan"
NA18861,Illumina,"Ibadan, Nigeria"
NA18505,Illumina,"Ibadan, Nigeria"
NA12044,Illumina,"Utah, USA"
NA18948,Illumina,"Tokyo, Japan"
NA19225,Illumina,"Ibadan, Nigeria"
NA18942,Illumina,"Tokyo, Japan"
NA18858,Illumina,"Ibadan, Nigeria"
NA18956,Illumina,"Tokyo, Japan"
NA18502,Illumina,"Ibadan, Nigeria"
NA12004,Illumina,"Utah, USA"
NA12287,Illumina,"Utah, USA"
NA19108,Illumina,"Ibadan, Nigeria"
NA11881,Illumina,"Utah, USA"
NA12749,Illumina,"Utah, USA"
NA12144,Illumina,"Utah, USA"
NA11993,Illumina,NA
NA18508,Illumina,"Ibadan, Nigeria"
NA19099,Illumina,"Ibadan, Nigeria"
NA19257,Illumina,"Ibadan, Nigeria"
NA18523,Illumina,"Ibadan, Nigeria"
NA11894,Illumina,"Utah, USA"
NA19190,Illumina,"Ibadan, Nigeria"
NA11931,Illumina,"Utah, USA"
NA12006,Illumina,"Utah, USA"
NA18949,Illumina,"Tokyo, Japan"
NA12156,Illumina,"Utah, USA"
NA06985,Illumina,"Utah, USA"
NA07037,Illumina,"Utah, USA"
NA12763,Illumina,"Utah, USA"
NA12878,Illumina,"Utah, USA"
NA19138,Illumina,"Ibadan, Nigeria"
NA18907,Illumina,"Ibadan, Nigeria"
NA19129,Illumina,"Ibadan, Nigeria"
NA19114,Illumina,"Ibadan, Nigeria"
NA18517,Illumina,"Ibadan, Nigeria"
NA19147,Illumina,"Ibadan, Nigeria"
NA18909,Illumina,"Ibadan, Nigeria"
NA19093,Illumina,"Ibadan, Nigeria"
NA18501,Illumina,"Ibadan, Nigeria"
NA11995,Illumina,"Utah, USA"
NA12891,Illumina,NA
NA12489,Illumina,"Utah, USA"
NA18507,Illumina,"Ibadan, Nigeria"
NA18940,Illumina,"Tokyo, Japan"
NA20529,Illumina,"Toscani, Italy"
NA20518,Illumina,"Toscani, Italy"
NA20510,Illumina,"Toscani, Italy"
NA20524,Illumina,"Toscani, Italy"
NA20522,Illumina,"Toscani, Italy"
NA20508,Illumina,"Toscani, Italy"
NA20512,Illumina,"Toscani, Italy"
NA20517,Illumina,"Toscani, Italy"
NA20525,Illumina,"Toscani, Italy"
NA20521,Illumina,"Toscani, Italy"
NA20502,Illumina,"Toscani, Italy"
NA20520,Illumina,"Toscani, Italy"
NA20509,Illumina,"Toscani, Italy"
NA20506,Illumina,"Toscani, Italy"
NA20505,Illumina,"Toscani, Italy"
NA20527,Illumina,"Toscani, Italy"
NA20530,Illumina,"Toscani, Italy"
NA20531,Illumina,"Toscani, Italy"
NA20528,Illumina,"Toscani, Italy"
NA20519,Illumina,"Toscani, Italy"
NA20752,Illumina,"Toscani, Italy"
NA20535,Illumina,"Toscani, Italy"
NA20538,Illumina,"Toscani, Italy"
NA20544,Illumina,"Toscani, Italy"
NA20585,Illumina,"Toscani, Italy"
NA20504,Illumina,"Toscani, Italy"
NA20589,Illumina,"Toscani, Italy"
NA20757,Illumina,"Toscani, Italy"
NA11893,Illumina,"Utah, USA"
NA12775,Illumina,"Utah, USA"
NA12347,Illumina,"Utah, USA"
NA12348,Illumina,"Utah, USA"
NA20513,Illumina,"Toscani, Italy"
NA12383,Illumina,"Utah, USA"
NA20807,Illumina,"Toscani, Italy"
NA20768,Illumina,"Toscani, Italy"
NA20811,Illumina,"Toscani, Italy"
NA20812,Illumina,"Toscani, Italy"
NA20813,Illumina,"Toscani, Italy"
NA20818,Illumina,"Toscani, Italy"
NA20586,Illumina,"Toscani, Italy"
NA20806,Illumina,"Toscani, Italy"
NA20761,Illumina,"Toscani, Italy"
NA20809,Illumina,"Toscani, Italy"
NA20515,Illumina,"Toscani, Italy"
NA20516,Illumina,"Toscani, Italy"
NA07056,Illumina,"Utah, USA"
NA12777,Illumina,"Utah, USA"
NA12546,Illumina,"Utah, USA"
NA12778,Illumina,"Utah, USA"
NA12413,Illumina,"Utah, USA"
NA11892,Illumina,"Utah, USA"
NA20534,Illumina,"Toscani, Italy"
NA20542,Illumina,"Toscani, Italy"
NA20541,Illumina,"Toscani, Italy"
NA20540,Illumina,"Toscani, Italy"
NA20539,Illumina,"Toscani, Italy"
NA20756,Illumina,"Toscani, Italy"
NA20753,Illumina,"Toscani, Italy"
NA20588,Illumina,"Toscani, Italy"
NA20582,Illumina,"Toscani, Italy"
NA20543,Illumina,"Toscani, Italy"
NA20755,Illumina,"Toscani, Italy"
NA20754,Illumina,"Toscani, Italy"
NA20765,Illumina,"Toscani, Italy"
NA20790,Illumina,"Toscani, Italy"
NA20786,Illumina,"Toscani, Italy"
NA20805,Illumina,"Toscani, Italy"
NA20803,Illumina,"Toscani, Italy"
NA20773,Illumina,"Toscani, Italy"
NA20774,Illumina,"Toscani, Italy"
NA20769,Illumina,"Toscani, Italy"
NA20771,Illumina,"Toscani, Italy"
NA20772,Illumina,"Toscani, Italy"
NA20800,Illumina,"Toscani, Italy"
NA20802,Illumina,"Toscani, Italy"
NA20795,Illumina,"Toscani, Italy"
NA20808,Illumina,"Toscani, Italy"
NA20810,Illumina,"Toscani, Italy"
NA19222,Illumina,"Ibadan, Nigeria"
NA19189,Illumina,"Ibadan, Nigeria"
NA20828,Illumina,"Toscani, Italy"
NA20533,Illumina,"Toscani, Italy"
NA20796,Illumina,"Toscani, Italy"
NA20792,Illumina,"Toscani, Italy"
NA19088,Illumina,"Tokyo, Japan"
NA19087,Illumina,"Tokyo, Japan"
NA20804,Illumina,"Toscani, Italy"
NA20801,Illumina,"Toscani, Italy"
NA20537,Illumina,NA
NA20775,Illumina,"Toscani, Italy"
NA20787,Illumina,"Toscani, Italy"
NA20785,Illumina,"Toscani, Italy"
NA20778,Illumina,"Toscani, Italy"
NA20783,Illumina,"Toscani, Italy"
NA20770,Illumina,"Toscani, Italy"
NA20581,Illumina,"Toscani, Italy"
NA20799,Illumina,"Toscani, Italy"
