motif,profiles
mt-MRCA,
L0,
L0a'b'f'g'k,
L0a'b'f'g,
L0a'b'g,
L0a'g,
L0a,
L0a1'4,
L0a1,
L0a1a,
L0a1a+200,NA19311 NA19156 NA19042 NA19027
L0a1a1,
L0a1a2,HG01108 NA20336 NA20334 NA19216 NA19137 NA18877 NA18876 NA18861
L0a1a3,NA18510
L0a1+16293,
L0a1b,
L0a1b1,
L0a1b1a,NA19703
L0a1b1a1,
L0a1b1a1a,NA19466 NA19449 NA19448 NA19382
L0a1b2,
L0a1b2a,
L0a1c,NA19440
L0a1c1,NA19467
L0a1d,
L0a1e,
L0a4,
L0a2,
L0a2a,
L0a2a1,
L0a2a1a,
L0a2a1a1,
L0a2a1a2,
L0a2a1b,
L0a2a2,
L0a2a2a,NA19904 NA19402 NA19328 NA19312
L0a2a2a1,
L0a2a2a2,
L0a2b,
L0a2b1,
L0a2c,
L0a2d,
L0a3,NA19039
L0g,
L0b,
L0f,NA19327
L0f1,NA19454
L0f2,
L0f2a,
L0f2a1,
L0f2b,
L0k,
L0k1,
L0k1a,
L0k1a1,
L0k1a1a,
L0k1a1b,
L0k1a1c,
L0k1a1d,
L0k1a2,
L0k1a2a,
L0k1a3,
L0k1b,
L0k2,
L0k2a,
L0k2a1,
L0k2a1a,
L0k2b,
L0d,
L0d1'2,
L0d1,
L0d1a'c'd,
L0d1a'd,
L0d1a,
L0d1a1,
L0d1a1a,
L0d1a1a1,
L0d1a1a2,
L0d1a1a3,
L0d1a1b,
L0d1a1b1,
L0d1a1b1a,
L0d1a1b1b,
L0d1a1c,
L0d1a1d,
L0d1d,
L0d1c,
L0d1c1,
L0d1c1a,
L0d1c1a1,
L0d1c1a1a,
L0d1c1a1a1,
L0d1c1a1a2,
L0d1c1a1b,
L0d1c1a2,
L0d1c2,
L0d1c2a,
L0d1c2a1,
L0d1c3,
L0d1b,
L0d1b1,
L0d1b1a,
L0d1b1a1,
L0d1b1b,
L0d1b1b1,
L0d1b1+@152,
L0d1b1c,
L0d1b2,
L0d1b2a,
L0d1b2a1,
L0d1b2a2,
L0d1b2b,
L0d1b2b1,
L0d1b2b1a,
L0d1b2b1b,
L0d1b2b1b1,
L0d1b2b2,
L0d1b2b2a,
L0d1b2b2b,
L0d1b2b2b1,
L0d1b2b2c,
L0d1b2b2c1,
L0d1b2b2c2,
L0d2,
L0d2a'b'd,
L0d2a,
L0d2a1,
L0d2a1a,
L0d2a1a1,
L0d2a1a1a,
L0d2a1a2,
L0d2a1a3,
L0d2a1b,
L0d2a1c,
L0d2a2,
L0d2b,
L0d2b1,
L0d2b1a,
L0d2b1a1,
L0d2b1a1a,
L0d2b1b,
L0d2b2,
L0d2d,
L0d2c,
L0d2c1,
L0d2c1a,
L0d2c1a1,
L0d2c1b,
L0d2c2,
L0d2c2a,
L0d2c2a1,
L0d2c2a1a,
L0d2c2b,
L0d3,
L0d3a,
L0d3b,
L0d3b1,
L0d3b2,
L1,
L1b,
L1b1,
L1b1a,NA20412 NA19834 NA19431 NA19131 NA19041 NA18486
L1b1a1'4,
L1b1a1,
L1b1a4,NA20322 NA20282
L1b1a4a,NA20341 NA20289
L1b1a2,
L1b1a2a,
L1b1a+189,NA18917
L1b1a3,HG01176 HG00554 NA19471 NA19223 NA19210 NA19207 NA19133 NA18923 NA18507
L1b1a3a,NA18924
L1b1a3a1,NA19250
L1b1a3b,NA18498
L1b1a9,NA19916
L1b1a15,NA19462 NA19190 NA18933
L1b1a15a,NA19198
L1b1a17,
L1b1a18,NA18501
L1b1a5,NA20753
L1b1a6,
L1b1a7,
L1b1a7a,HG00740
L1b1a8,
L1b1a10,
L1b1a10a,
L1b1a10b,
L1b1a12,
L1b1a12a,
L1b1a12b,
L1b1a13,
L1b1a14,
L1b1a16,
L1b2'3,
L1b2,NA19909
L1b2a,NA19135
L1b3,
L1c,
L1c1'2'4'5'6,
L1c1'2'4'6,
L1c1,
L1c1a'b'd,
L1c1a,
L1c1a+@198,
L1c1a1,
L1c1a1a,
L1c1a1a1,
L1c1a1a1a,
L1c1a1a1b,
L1c1a1a1b1,
L1c1a1a2,
L1c1a1b,
L1c1a2,
L1c1a2a,
L1c1a2a1,
L1c1a2a2,
L1c1a2b,
L1c1a2c,
L1c1b'd,
L1c1b,NA19917
L1c1b1,
L1c1d,
L1c1d1,
L1c1c,
L1c2'4,
L1c2,
L1c2a,
L1c2a1,
L1c2a1a,
L1c2a1b,
L1c2a2,
L1c2a3,
L1c2a3a,
L1c2b,
L1c2b1,
L1c2b1a'b,
L1c2b1a,
L1c2b1a1,
L1c2b1b,
L1c2b1b1,
L1c2b1c,NA19712
L1c2b2,
L1c4,
L1c4a,
L1c4b,
L1c6,
L1c5,
L1c3,
L1c3a,
L1c3a1,
L1c3a1a,
L1c3a1b,
L1c3b'c,
L1c3b,
L1c3b1,
L1c3b1a,HG01080 NA19390
L1c3b1b,NA18915
L1c3b2,NA19256 NA19163
L1c3c,
L2'3'4'6,
L2,
L2a'b'c'd,
L2a,
L2a1'2'3'4,
L2a1,
L2a1a,NA18489
L2a1a1,NA20340 NA19266 NA19102 NA18874
L2a1a2,NA19452 NA19351 NA19095
L2a1a2a,
L2a1a2a1,NA20287
L2a1a2a1a,NA19117
L2a1a2b,
L2a1a2c,
L2a1a3,
L2a1a3a,
L2a1a3b,
L2a1a3c,
L2a1+16189+(16192),
L2a1b,
L2a1b1,NA19129
L2a1b1a,
L2a1b2,NA19152
L2a1b+143,
L2a1b3,NA18856
L2a1f,NA19395 NA19189 NA19157 NA19023 NA18523 NA18511
L2a1f1,NA20126
L2a1f1a,
L2a1f2,NA18505
L2a1f3,
L2a1g,
L2a1+143,
L2a1c,NA19908
L2a1c+16086,
L2a1c1,
L2a1c1a,
L2a1c1a1,NA18868
L2a1c1a2,
L2a1c6,
L2a1c2,
L2a1c2a,NA19228 NA18910
L2a1c3,
L2a1c3a,
L2a1c3a1,
L2a1c3b,
L2a1c3b1,
L2a1c3b2,NA19130 NA19096
L2a1c4,
L2a1c4a,
L2a1c4a1,NA18912
L2a1c+16129,
L2a1c5,NA19149 NA19093 NA18908
L2a1+143+@16309,
L2a1d,
L2a1d1,
L2a1d2,
L2a1h,
L2a1e,
L2a1e1,NA20357 NA19116
L2a1+143+16189+(16192),NA19394
L2a1+143+16189+(16192)+@16309,
L2a1i,
L2a1i1,
L2a1q,NA19381
L2a1j,
L2a1k,
L2a1l,
L2a1l1,
L2a1l1a,
L2a1l1a1,
L2a1l1a2,
L2a1l1b,NA20332
L2a1l2,
L2a1l2a,
L2a1l2a1,
L2a1l3,NA18487
L2a1m,
L2a1m1,
L2a1m1a,NA19099
L2a1n,NA19225 NA18519
L2a1o,
L2a1p,NA19239
L2a2'3'4,
L2a2'3,
L2a2,
L2a2a,
L2a2a1,
L2a2b,
L2a2b1,
L2a2b1a,
L2a2b2,
L2a3,
L2a4,
L2a4a,
L2a4b,NA19393 NA19376
L2a5,
L2b'c'd,
L2b'c,
L2b,
L2b1,
L2b1a,
L2b1a2,
L2b1a3,HG01188 NA19984 NA19392 NA19185 NA18522 NA18516
L2b1a4,
L2b1b,NA19209
