sample_id,accession,seq_tech,asm_method,geo_origin,pub_title,pubmed_id,first_aut
CHN_18_00000029,EMP00726,Illumina MiSeq FGx,MiSeq Reporter v2.5.1.3 and NextGENe v2.4.2.2,China,,,
CHN_19_00000101,EMP00812,Ion S5 XL,IGV 2.5.2 + Variant Caller 5.10 + Converge,China,Massively parallel sequencing of mitogenome sequences reveals the forensic features and maternal diversity of tai-kadai-speaking hlai islanders,32361554,Wang
CHN_19_00000258,EMP00684,Ion PGM,Ion Torrent Variant Caller,China,Massive parallel sequencing of mitochondrial DNA genomes from mother-child pairs using the ion torrent personal genome machine (PGM),29128545,Ma
CHN_19_00000336,EMP00684,Ion PGM,Ion Torrent Variant Caller,China,Massive parallel sequencing of mitochondrial DNA genomes from mother-child pairs using the ion torrent personal genome machine (PGM),29128545,Ma
CHN_20_01200191,EMP00834,Ion S5 XL,IGV 2.5.2 + Variant Caller 5.10 + Converge,China,,,
CHN_20_01200225,EMP00834,Ion S5 XL,IGV 2.5.2 + Variant Caller 5.10 + Converge,China,,,
CHN_20_01200319,EMP00839,Ion S5 XL,IGV 2.5.2 + Variant Caller 5.10 + Converge,China,,,
CHN_21_00000072,EMP00843,Ion S5 XL,Converge,China,,,
CHN_21_00000073,EMP00843,Ion S5 XL,Converge,China,,,
CMR_21_00000048,EMP00844,Illumina HiSeq,,Cameroon,Complete mitogenome in a population sample from Cameroon,34560341,Olaechea-Lázaro
CMR_21_00000051,EMP00844,Illumina HiSeq,,Cameroon,Complete mitogenome in a population sample from Cameroon,34560341,Olaechea-Lázaro
CMR_21_00000058,EMP00844,Illumina HiSeq,,Cameroon,Complete mitogenome in a population sample from Cameroon,34560341,Olaechea-Lázaro
CMR_21_00000080,EMP00844,Illumina HiSeq,,Cameroon,Complete mitogenome in a population sample from Cameroon,34560341,Olaechea-Lázaro
CMR_21_00000085,EMP00844,Illumina HiSeq,,Cameroon,Complete mitogenome in a population sample from Cameroon,34560341,Olaechea-Lázaro
ESP_22_00000017,EMP00860,Illumina HiSeq,BWA,Spain,Sequence diversity of the uniparentally transmitted portions of the genome in the resident population of Catalonia,36240588,Font-Porterias
ESP_22_00000018,EMP00860,Illumina HiSeq,BWA,Spain,Sequence diversity of the uniparentally transmitted portions of the genome in the resident population of Catalonia,36240588,Font-Porterias
ESP_22_00000054,EMP00860,Illumina HiSeq,BWA,Spain,Sequence diversity of the uniparentally transmitted portions of the genome in the resident population of Catalonia,36240588,Font-Porterias
ESP_22_00000167,EMP00860,Illumina HiSeq,BWA,Spain,Sequence diversity of the uniparentally transmitted portions of the genome in the resident population of Catalonia,36240588,Font-Porterias
ESP_22_00000444,EMP00860,Illumina HiSeq,BWA,Spain,Sequence diversity of the uniparentally transmitted portions of the genome in the resident population of Catalonia,36240588,Font-Porterias
ESP_22_00000743,EMP00860,Illumina HiSeq,BWA,Spain,Sequence diversity of the uniparentally transmitted portions of the genome in the resident population of Catalonia,36240588,Font-Porterias
HRV_18_00000299,EMP00743,Illumina MiSeq FGx,BaseSpace Sequence Hub: mtDNA Variant Processor v.1.0.0,Croatia,,,
HRV_18_00000301,EMP00743,Illumina MiSeq FGx,BaseSpace Sequence Hub: mtDNA Variant Processor v.1.0.0,Croatia,,,
HRV_18_00000387,EMP00743,Illumina MiSeq FGx,BaseSpace Sequence Hub: mtDNA Variant Processor v.1.0.0,Croatia,,,
HRV_18_00000402,EMP00743,Illumina MiSeq FGx,BaseSpace Sequence Hub: mtDNA Variant Processor v.1.0.0,Croatia,,,
HRV_18_00000466,EMP00743,Illumina MiSeq FGx,BaseSpace Sequence Hub: mtDNA Variant Processor v.1.0.0,Croatia,,,
HRV_18_00000495,EMP00743,Illumina MiSeq FGx,BaseSpace Sequence Hub: mtDNA Variant Processor v.1.0.0,Croatia,,,
PRT1300260,EMP00619,AB 3130,Geneious,Portugal,Portuguese crypto-Jews: the genetic heritage of a complex history,25699075,Nogueiro
PRT1300261,EMP00619,AB 3130,Geneious,Portugal,Portuguese crypto-Jews: the genetic heritage of a complex history,25699075,Nogueiro
PRT1300262,EMP00619,AB 3130,Geneious,Portugal,Portuguese crypto-Jews: the genetic heritage of a complex history,25699075,Nogueiro
PRT1300263,EMP00619,AB 3130,Geneious,Portugal,Portuguese crypto-Jews: the genetic heritage of a complex history,25699075,Nogueiro
PRT1300264,EMP00619,AB 3130,Geneious,Portugal,Portuguese crypto-Jews: the genetic heritage of a complex history,25699075,Nogueiro
PRT1300265,EMP00619,AB 3130,Geneious,Portugal,Portuguese crypto-Jews: the genetic heritage of a complex history,25699075,Nogueiro
PRT1300266,EMP00619,AB 3130,Geneious,Portugal,Portuguese crypto-Jews: the genetic heritage of a complex history,25699075,Nogueiro
PRT1300273,EMP00619,AB 3130,Geneious,Portugal,Portuguese crypto-Jews: the genetic heritage of a complex history,25699075,Nogueiro
SGP_19_00000016,EMP00759,Ion 520 chip,Ion Torrent Variant Caller 5.2.2.41,Singapore,,,
SGP_19_00000019,EMP00759,Ion 520 chip,Ion Torrent Variant Caller 5.2.2.41,Singapore,,,
SGP_19_00000022,EMP00759,Ion 520 chip,Ion Torrent Variant Caller 5.2.2.41,Singapore,,,
SGP_19_00000026,EMP00759,Ion 520 chip,Ion Torrent Variant Caller 5.2.2.41,Singapore,,,
SGP_19_00000033,EMP00759,Ion 520 chip,Ion Torrent Variant Caller 5.2.2.41,Singapore,,,
SGP_19_00000045,EMP00759,Ion 520 chip,Ion Torrent Variant Caller 5.2.2.41,Singapore,,,
SGP_19_00000046,EMP00759,Ion 520 chip,Ion Torrent Variant Caller 5.2.2.41,Singapore,,,
SGP_19_00000051,EMP00759,Ion 520 chip,Ion Torrent Variant Caller 5.2.2.41,Singapore,,,
SGP_19_00000054,EMP00759,Ion 520 chip,Ion Torrent Variant Caller 5.2.2.41,Singapore,,,
SGP_19_00000093,EMP00759,Ion 520 chip,Ion Torrent Variant Caller 5.2.2.41,Singapore,,,
SGP_20_00000252,EMP00823,Ion S5 XL,Converge,Singapore,,,
SGP_20_00000273,EMP00823,Ion S5 XL,Converge,Singapore,,,
SLV_22_00000109,EMP00865,Illumina MiSeq,BWA,El Salvador,Population analysis of complete mitogenomes for 334 samples from El Salvador ,37364481,Aizpurua-Iraola 
