accession,pub_title,first_aut,pubmed_id,pub_date,geo_origin,asm_method,seq_tech
AB055387.1,Sequence and organization of the human mitochondrial genome.,Anderson S,7219534.0,04-1981,,,
AB626609.1,Mitochondrial DNA mutations regulate metastasis of human breast cancer cells,"Imanishi, H.",,,,,
AB626610.1,Mitochondrial DNA mutations regulate metastasis of human breast cancer cells,"Imanishi, H.",,,,,
AF346963.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,Australia,,
AF346964.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,Australia,,
AF346965.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,Australia,,
AF346966.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346967.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346969.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346970.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346971.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346972.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,China,,
AF346974.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346975.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346976.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346977.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346978.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346979.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346980.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346981.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346982.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346983.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346984.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346985.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346986.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346987.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346988.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346989.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346990.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346991.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346992.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346993.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346994.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346995.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346996.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346997.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346998.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF346999.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347000.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347001.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347002.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347003.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347004.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347005.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347007.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347008.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347009.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347010.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347011.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347012.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347013.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347014.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF347015.1,Mitochondrial genome variation and the origin of modern humans.,Ingman M,11130070.0,12-2000,,,
AF381981.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Mauritania,,
AF381982.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,"Spain: Canary Islands, Tenerife",,
AF381983.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Morocco,,
AF381984.2,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Morocco,,
AF381985.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Morocco,,
AF381986.2,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Morocco,,
AF381987.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Morocco,,
AF381988.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Morocco,,
AF381989.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Morocco: Berber,,
AF381990.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Morocco: Berber,,
AF381991.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Mauritania,,
AF381992.2,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Mauritania,,
AF381993.1,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Mauritania,,
AF381994.2,Major genomic mitochondrial lineages delineate early human expansions.,Maca-Meyer N,11553319.0,2001,Mauritania,,
