motif,num_profiles,profiles
L0a2a1,3,CMR_21_00000085 CMR_21_00000051 CMR_21_00000048
L1b,1,USA_21_00000054
L1b1a1,2,UNK1000576 UNK1000575
L1c2b1,1,USA_18_00000016
L2b1a4,1,UNK1000622
L2b3,1,USA_22_00000032
L2c2b1,1,CMR_21_00000058
L3b1a1,2,CMR_21_00000080 UNK1000632
L3f1b4,1,USA_22_00000040
L3e1a1,1,UNK1000644
M3a,1,SGP_20_00000273
C5,1,CHN_20_01200225
M9a'b,1,CHN_19_00000336
M9a1a1c1,2,CHN_21_00000073 CHN_21_00000072
D4a3a,1,CHN_20_01200319
D6,1,SGP_19_00000016
N9a2'4'5'11,1,CHN_20_01200191
A2v$,1,SLV_22_00000191
A2af1$,3,SLV_22_00000111 SLV_22_00000110 SLV_22_00000109
V10,1,ESP_22_00000054
H1an,1,HRV_18_00000466
F1,1,CHN_19_00000101
F1b1,1,CHN_18_00000029
B2a2,2,USA_21_00000171 USA_21_00000132
B4b1b'c,1,CHN_19_00000258
U6a3+185,1,ESP_22_00000444
U6a3d1,1,SWE_22_00000475
U2+152,2,SGP_20_00000252 SGP_19_00000093
U2e1c,1,ESP_22_00000017
K1b1a1d,3,ESP_22_00000743 ESP_22_00000167 USA_18_00000244
L1c2a1b1,3,USA_22_00000090 UNK1000586 UNK1000583
L1c2b1b3,1,USA_18_00000015
L2a1a4,2,USA_22_00000066 UNK1000601
L2a1e2,2,USA_18_00000031 UNK1000603
L2b3a2,2,UNK1000621 UNK1000620
L2c6,2,ESP_22_00000018 USA_18_00000044
L2c3c,2,UNK1000626 UNK1000624
L3b1a7a1,1,USA_18_00000055
L3e2b1a1a,1,USA_21_00000046
E1a2b,2,SGP_19_00000051 SGP_19_00000022
M73c1,2,SGP_19_00000054 SGP_19_00000019
I1b1,1,HRV_18_00000402
HV4a1b,2,HRV_18_00000387 HRV_18_00000301
HV15a1,2,HRV_18_00000495 HRV_18_00000299
H23a,1,PRT1300266
H28b,1,USA_22_00000127
T2b11a,4,PRT1300273 PRT1300265 PRT1300264 PRT1300263
F1a1a2,2,SGP_19_00000046 SGP_19_00000045
B4a1c4a,2,SGP_19_00000033 SGP_19_00000026
B2a1c,2,USA_21_00000190 USA_21_00000189
U5a1a1j,3,PRT1300262 PRT1300261 PRT1300260
K1a4a1h1,1,USA_22_00000189
