accession_number,technology,assembly
"OR365507.1","NA","NA"
"OR438631.1","Illumina","CLC Genomics Workbench v. v11"
"OR438630.1","Illumina","CLC Genomics Workbench v. v11"
"OR438629.1","Illumina","CLC Genomics Workbench v. v11"
"OR438628.1","Illumina","CLC Genomics Workbench v. v11"
"OR438627.1","Illumina","CLC Genomics Workbench v. v11"
"OR438626.1","Illumina","CLC Genomics Workbench v. v11"
"OR438625.1","Illumina","CLC Genomics Workbench v. v11"
"OR438624.1","Illumina","CLC Genomics Workbench v. v11"
"OR438623.1","Illumina","CLC Genomics Workbench v. v11"
"OR438622.1","Illumina","CLC Genomics Workbench v. v11"
"OR438621.1","Illumina","CLC Genomics Workbench v. v11"
"OR438620.1","Illumina","CLC Genomics Workbench v. v11"
"OR438619.1","Illumina","CLC Genomics Workbench v. v11"
"OR438618.1","Illumina","CLC Genomics Workbench v. v11"
"OR438617.1","Illumina","CLC Genomics Workbench v. v11"
"OR438616.1","Illumina","CLC Genomics Workbench v. v11"
"OR438615.1","Illumina","CLC Genomics Workbench v. v11"
"OR438614.1","Illumina","CLC Genomics Workbench v. v11"
"OR438613.1","Illumina","CLC Genomics Workbench v. v11"
"MF381466.1","Illumina","BWA v. v0.5.10-evan"
"MF381465.1","Illumina","BWA v. v0.5.10-evan"
"MF381464.1","Illumina","BWA v. v0.5.10-evan"
"MF381463.1","Illumina","BWA v. v0.5.10-evan"
"MF381462.1","Illumina","BWA v. v0.5.10-evan"
"MF381461.1","Illumina","BWA v. v0.5.10-evan"
"MF381460.1","Illumina","BWA v. v0.5.10-evan"
"MF381459.1","Illumina","BWA v. v0.5.10-evan"
"MF381458.1","Illumina","BWA v. v0.5.10-evan"
"MF381457.1","Illumina","BWA v. v0.5.10-evan"
"MF381456.1","Illumina","BWA v. v0.5.10-evan"
"MF381455.1","Illumina","BWA v. v0.5.10-evan"
"MF381454.1","Illumina","BWA v. v0.5.10-evan"
"MF381453.1","Illumina","BWA v. v0.5.10-evan"
"MF381452.1","Illumina","BWA v. v0.5.10-evan"
"MF381451.1","Illumina","BWA v. v0.5.10-evan"
"MF381450.1","Illumina","BWA v. v0.5.10-evan"
"MF381449.1","Illumina","BWA v. v0.5.10-evan"
"MF381448.1","Illumina","BWA v. v0.5.10-evan"
"MF381447.1","Illumina","BWA v. v0.5.10-evan"
"MF381446.1","Illumina","BWA v. v0.5.10-evan"
"MF381445.1","Illumina","BWA v. v0.5.10-evan"
"MF381444.1","Illumina","BWA v. v0.5.10-evan"
"MF381443.1","Illumina","BWA v. v0.5.10-evan"
"MF381442.1","Illumina","BWA v. v0.5.10-evan"
