GenBank_id;country
AB055387.1;NA
AB626609.1;NA
AB626610.1;NA
AF346963.1;Australia
AF346964.1;Australia
AF346965.1;Australia
AF346966.1;NA
AF346967.1;NA
AF346969.1;NA
AF346970.1;NA
AF346971.1;NA
AF346972.1;China
AF346974.1;NA
AF346975.1;NA
AF346976.1;NA
AF346977.1;NA
AF346978.1;NA
AF346979.1;NA
AF346980.1;NA
AF346981.1;NA
AF346982.1;NA
AF346983.1;NA
AF346984.1;NA
AF346985.1;NA
AF346986.1;NA
AF346987.1;NA
AF346988.1;NA
AF346989.1;NA
AF346990.1;NA
AF346991.1;NA
AF346992.1;NA
AF346993.1;NA
AF346994.1;NA
AF346995.1;NA
AF346996.1;NA
AF346997.1;NA
AF346998.1;NA
AF346999.1;NA
AF347000.1;NA
AF347001.1;NA
AF347002.1;NA
AF347003.1;NA
AF347004.1;NA
AF347005.1;NA
AF347007.1;NA
AF347008.1;NA
AF347009.1;NA
AF347010.1;NA
AF347011.1;NA
AF347012.1;NA
AF347013.1;NA
AF347014.1;NA
AF347015.1;NA
AF381981.1;Mauritania
AF381982.1;Spain: Canary Islands, Tenerife
AF381983.1;Morocco
AF381984.2;Morocco
AF381985.1;Morocco
AF381986.2;Morocco
AF381987.1;Morocco
AF381988.1;Morocco
AF381989.1;Morocco: Berber
AF381990.1;Morocco: Berber
AF381991.1;Mauritania
AF381992.2;Mauritania
AF381993.1;Mauritania
AF381994.2;Mauritania
AF381995.1;Jordan
AF381996.2;Jordan
AF381997.1;Jordan
AF381998.1;Jordan
AF381999.2;Jordan
AF382000.1;Jordan
AF382001.1;Spain: Maragato
AF382002.1;Spain: Maragato
AF382003.2;Spain: Maragato
AF382004.1;Spain: Leon
AF382005.1;Spain: Leon
AF382006.1;Spain: Leon
AF382007.2;Spain: Leon
AF382008.3;Morocco
AF382009.2;Spain: Canary Islands, Tenerife
AF382010.2;Spain: Canary Islands, Hierro
AF382011.1;Spain: Andalusia
AF382012.1;Philippines
AF382013.1;India
AJ842744.1;NA
AJ842745.1;NA
AJ842746.1;NA
AJ842747.1;NA
AJ842748.1;NA
AJ842749.1;NA
AJ842750.1;NA
AJ842751.1;NA
AM263177.1;NA
AM263178.1;NA
AM263179.1;NA
AM263180.1;NA
AM263181.1;NA
AM263182.1;NA
AM263183.1;NA
AM263184.1;NA
AM263185.1;NA
AM263186.1;NA
AM263187.1;NA
AM263188.1;NA
AM263189.1;NA
AM263190.1;NA
AM263191.1;NA
AM711903.1;NA
AM711904.1;NA
AP008249.1;Japan
AP008250.1;Japan
AP008251.1;Japan
AP008252.1;Japan
