Id,color_hex
mt-MRCA,#f44336
L1'2'3'4'5'6'7,#f44336
L2'3'4'5'6'7,#f44336
L2'3'4'6,#f44336
L3'4'6,#f44336
L3'4,#f44336
L0,#f44336
L1,#f44336
L2,#f44336
L4,#f44336
L5,#f44336
L6,#f44336
L7,#f44336
L3,#d3d3d3
M,#42a5f5
M1,#42a5f5
M2,#42a5f5
M3,#42a5f5
M4,#42a5f5
M5,#42a5f5
M6,#42a5f5
M7,#42a5f5
M8,#42a5f5
M9,#42a5f5
C,#42a5f5
C1,#42a5f5
C4,#42a5f5
C5,#42a5f5
C7,#42a5f5
Z,#42a5f5
E,#42a5f5
Q,#42a5f5
D,#42a5f5
D1,#42a5f5
D2,#42a5f5
D3,#42a5f5
D4,#42a5f5
D5,#42a5f5
D6,#42a5f5
G,#42a5f5
N,#ffeb3b
N1,#ffeb3b
N2,#ffeb3b
N9,#ffeb3b
I,#ffeb3b
A,#ffeb3b
A1,#ffeb3b
A2,#ffeb3b
A3,#ffeb3b
A5,#ffeb3b
A6,#ffeb3b
A7,#ffeb3b
O,#ffeb3b
S,#ffeb3b
W,#ffeb3b
X,#ffeb3b
Y,#ffeb3b
R,#66bb6a
R1,#66bb6a
R2,#66bb6a
R5,#66bb6a
R6,#66bb6a
R7,#66bb6a
R8,#66bb6a
R9,#66bb6a
R+16189,#66bb6a
B2,#66bb6a
B4,#66bb6a
B5,#66bb6a
B6,#66bb6a
R0,#66bb6a
HV,#66bb6a
H,#66bb6a
H1,#66bb6a
H2,#66bb6a
H3,#66bb6a
H4,#66bb6a
H5,#66bb6a
H6,#66bb6a
H7,#66bb6a
H8,#66bb6a
H9,#66bb6a
V,#66bb6a
F,#66bb6a
P,#66bb6a
J1,#66bb6a
J2,#66bb6a
T1,#66bb6a
T2,#66bb6a
U,#66bb6a
U1,#66bb6a
U2,#66bb6a
U3,#66bb6a
U4,#66bb6a
U5,#66bb6a
U6,#66bb6a
U7,#66bb6a
U8,#66bb6a
U9,#66bb6a
K,#66bb6a
K1,#66bb6a
K2,#66bb6a
K3,#66bb6a
